horario_id,fecha,turno1_id,turno2_id,estado
10,2024-11-10,150,24,realizada
4,2024-06-28,265,263,cancelada
2,2024-10-17,124,233,realizada
7,2024-12-12,102,NULL,realizada
5,2025-04-01,181,108,realizada
1,2024-07-07,67,254,realizada
4,2024-05-09,39,49,realizada
7,2024-07-05,22,NULL,realizada
4,2025-03-18,151,294,realizada
4,2024-10-23,190,209,realizada
10,2025-01-10,288,NULL,realizada
9,2024-05-18,184,124,realizada
8,2024-09-29,138,NULL,realizada
9,2024-08-11,280,124,realizada
9,2024-09-20,259,NULL,realizada
7,2025-02-07,225,174,realizada
2,2024-05-18,21,NULL,realizada
10,2025-01-10,178,255,realizada
4,2024-08-11,72,NULL,realizada
2,2024-05-29,21,NULL,realizada
6,2024-12-06,54,42,realizada
10,2024-11-29,25,201,cancelada
3,2025-03-20,177,NULL,realizada
9,2024-07-29,273,224,realizada
4,2025-01-27,268,NULL,realizada
8,2024-06-12,56,NULL,cancelada
5,2025-02-14,89,45,realizada
3,2024-11-25,131,168,realizada
4,2025-02-10,44,NULL,realizada
5,2025-02-03,83,176,realizada
10,2024-07-31,155,285,realizada
5,2024-11-07,71,223,realizada
1,2024-08-09,84,NULL,realizada
3,2025-02-28,137,NULL,realizada
5,2025-01-21,269,282,realizada
3,2024-08-22,122,252,realizada
2,2024-10-07,119,50,realizada
3,2025-01-16,250,267,realizada
10,2024-08-18,94,273,realizada
1,2025-02-01,44,NULL,realizada
3,2024-10-06,268,NULL,realizada
7,2025-03-25,177,NULL,realizada
9,2024-12-21,185,218,cancelada
9,2025-03-12,268,NULL,cancelada
8,2024-06-21,182,255,realizada
6,2024-09-01,177,NULL,realizada
10,2024-12-30,9,145,realizada
9,2024-06-24,56,NULL,cancelada
6,2025-01-16,137,NULL,realizada
5,2025-03-18,153,NULL,realizada
10,2024-05-13,271,200,realizada
6,2025-03-09,126,235,realizada
9,2025-03-26,275,NULL,realizada
7,2025-01-17,189,130,realizada
5,2024-12-05,118,NULL,realizada
8,2025-03-17,233,127,realizada
4,2025-04-01,277,NULL,realizada
5,2024-06-23,26,NULL,cancelada
3,2024-07-12,100,NULL,realizada
8,2024-08-08,68,54,realizada
4,2024-04-26,164,180,realizada
7,2024-12-18,58,255,realizada
8,2024-08-25,1,125,realizada
5,2024-04-14,81,267,realizada
3,2024-07-03,288,NULL,cancelada
3,2024-12-10,153,NULL,realizada
7,2025-02-19,17,NULL,realizada
10,2024-12-03,137,NULL,realizada
7,2024-05-10,193,245,realizada
7,2024-07-07,262,294,realizada
2,2024-06-04,106,148,realizada
3,2024-08-02,216,NULL,realizada
3,2025-01-30,17,NULL,realizada
4,2024-05-27,203,NULL,realizada
5,2025-02-12,196,NULL,cancelada
10,2024-11-26,274,NULL,realizada
1,2024-10-29,177,NULL,realizada
6,2024-08-31,194,219,cancelada
8,2025-05-07,8,134,pendiente
9,2025-05-10,196,103,pendiente
4,2025-05-05,274,NULL,pendiente
10,2025-04-14,17,NULL,pendiente
6,2025-04-25,141,225,pendiente
6,2025-05-02,146,107,pendiente
2,2025-04-22,44,NULL,pendiente
4,2025-05-02,134,NULL,pendiente
8,2025-04-15,21,NULL,pendiente
10,2025-04-21,54,2,pendiente
5,2025-05-11,118,NULL,pendiente
4,2025-04-23,17,NULL,pendiente
5,2025-05-11,44,NULL,pendiente
3,2025-04-27,118,NULL,pendiente
9,2025-04-23,188,121,pendiente
3,2025-05-06,130,263,pendiente
7,2025-05-08,145,235,pendiente
2,2025-04-13,170,262,pendiente
10,2025-04-16,142,121,pendiente
9,2025-04-21,118,NULL,pendiente
